pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	435.98826831437736			450.33976144542635			1	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	541.0591394006361			494.00052223165414			2	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	661.1756015895577			494.00052223165414			3	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	681.8871775939891			385.97730469144705			4	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	661.1756015895577			335.95499080773016			5	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	612.1072971058884			258.4744416121019			6	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	593.5152085266478			186.9660292452779			7	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	435.98826831437736			125.20409729332988			8	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	416.27587850225194			184.10469003523662			9	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	373.67692370967234			254.51873341439463			10	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	379.48457822131735			357.33249102189643			11	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
beads	463.7310896871333			450.33976144542635			12	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	43.131735980268964			34.80942017805217			1	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	121.21407487888176			66.52832535119678			2	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	186.67790545532006			32.22608343046152			3	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	195.5178787319037			16.861558936019726			4	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	121.21407487888176			6.787728006356553			5	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	96.18010895676674			3.4436493590772215			6	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	69.57133924680832			2.1681201767839524			7	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	39.31966631195769			2.1681201767839524			8	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	23.636365288806335			2.2360373620525027			9	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	16.074385604809912			3.0439401187167276			10	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	17.906856336210538			9.098789703316179			11	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
synecho	21.547335734609785			21.580592482483695			12	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	671.4515357506543			258.4744416121019			1	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	795.5931738936182			243.01114742601422			2	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	987.3269288739405			178.51271176415136			3	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	1066.4739323486137			133.17108897357704			4	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	972.2168189458388			87.81484424340968			5	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	651.0569309348517			53.6088705494468			6	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	463.7310896871333			46.66120881653816			7	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	416.27587850225194			68.61235032677999			8	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
croco	692.4850092825844			274.9216966971785			9	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	4.5384805927092335				8.959541285584272		1	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	7.907390203448575				11.826251725601688		2	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	13.35857561526014				13.174437633426153		3	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	22.222314183130063				13.174437633426153		4	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	33.18436004316124				10.781023786860626		5	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	45.17420261555859				8.167678987429085		6	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	41.18161563367368				4.7607329994030865		7	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	31.68399159662996				2.7749105622893184		8	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	20.258261312734415				2.2018169135304584		9	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	8.94573419452121				2.1681201767839524		10	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	4.827273355124713				2.2360373620525027		11	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	2.5650151973581545				2.415284632321644		12	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
prochloro	3.950297562245448				8.822423933903249		13	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
picoeuk	362.3268965192164				2572.750187603705		1	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
picoeuk	87.67951727604489				874.0734890170454		2	e6a0db0d-5b55-4bf5-83bd-89823a1de4b0
